hospital,date,occupancy_combined,occupancy_combined_flagged,occupancy_icu,occupancy_icu_flagged,occupancy_acute,admissions_combined,admissions_icu
BMC,2020-05-01,22,22,6,6,16,5,0
BMC,2020-05-02,26,26,7,7,19,4,0
BMC,2020-05-03,24,24,7,7,17,5,1
BMC,2020-05-04,28,28,6,6,22,7,0
BMC,2020-05-05,24,24,9,9,15,2,0
BMC,2020-05-06,24,24,8,8,16,5,0
BMC,2020-05-07,23,23,10,10,13,2,0
BMC,2020-05-08,21,21,7,7,14,1,0
BMC,2020-05-09,20,20,8,8,12,3,0
BMC,2020-05-10,24,24,7,7,17,3,0
BMC,2020-05-11,28,28,6,6,22,6,0
BMC,2020-05-12,31,30,8,8,23,5,0
BMC,2020-05-13,33,30,10,10,23,4,0
BMC,2020-05-14,33,31,8,8,25,4,0
BMC,2020-05-15,36,34,8,8,28,4,0
BMC,2020-05-16,31,29,8,8,23,5,0
BMC,2020-05-17,31,29,11,11,20,1,0
BMC,2020-05-18,29,27,11,11,18,2,0
BMC,2020-05-19,29,27,11,11,18,6,0
BMC,2020-05-20,28,26,10,10,18,1,0
BMC,2020-05-21,26,24,10,10,16,2,0
BMC,2020-05-22,30,28,9,9,21,11,0
BMC,2020-05-23,37,35,13,13,24,5,0
BMC,2020-05-24,34,32,9,9,25,3,0
BMC,2020-05-25,30,28,11,11,19,1,0
BMC,2020-05-26,31,29,11,11,20,4,0
BMC,2020-05-27,30,28,10,10,20,4,0
BMC,2020-05-28,26,26,7,7,19,2,0
BMC,2020-05-29,22,22,7,7,15,0,0
BMC,2020-05-30,17,16,8,8,9,2,0
BMC,2020-05-31,17,16,6,6,11,1,0
BMC,2020-06-01,15,15,6,6,9,0,0
BMC,2020-06-02,17,17,7,7,10,6,0
BMC,2020-06-03,20,20,7,7,13,3,0
BMC,2020-06-04,20,20,7,7,13,5,0
BMC,2020-06-05,25,25,8,8,17,4,0
BMC,2020-06-06,29,29,8,8,21,6,0
BMC,2020-06-07,32,32,8,8,24,3,0
BMC,2020-06-08,29,29,9,9,20,0,0
BMC,2020-06-09,24,24,7,7,17,0,0
BMC,2020-06-10,17,16,5,5,12,3,0
BMC,2020-06-11,20,19,5,5,15,3,0
BMC,2020-06-12,17,17,4,4,13,2,0
BMC,2020-06-13,15,15,5,5,10,2,0
BMC,2020-06-14,15,15,5,5,10,2,0
BMC,2020-06-15,16,15,5,5,11,2,0
BMC,2020-06-16,18,17,6,6,12,0,0
BMC,2020-06-17,18,17,6,6,12,1,0
BMC,2020-06-18,18,17,4,4,14,3,0
BMC,2020-06-19,16,16,6,6,10,1,0
BMC,2020-06-20,16,15,7,7,9,1,0
BMC,2020-06-21,15,14,6,6,9,0,0
BMC,2020-06-22,15,13,6,6,9,0,0
BMC,2020-06-23,13,11,4,4,9,1,0
BMC,2020-06-24,13,11,4,4,9,2,0
BMC,2020-06-25,12,11,5,5,7,0,0
BMC,2020-06-26,11,10,4,4,7,0,0
BMC,2020-06-27,9,8,3,3,6,1,0
BMC,2020-06-28,12,12,3,3,9,5,0
BMC,2020-06-29,11,10,4,4,7,1,0
BMC,2020-06-30,16,14,4,4,12,5,0
BMC,2020-07-01,16,14,6,6,10,1,0
BMC,2020-07-02,17,16,5,5,12,3,0
BMC,2020-07-03,14,14,5,5,9,2,0
BMC,2020-07-04,14,14,6,6,8,2,0
BMC,2020-07-05,17,17,6,6,11,3,0
BMC,2020-07-06,17,17,8,8,9,2,0
BMC,2020-07-07,20,19,8,8,12,3,0
BMC,2020-07-08,13,12,4,4,9,0,0
BMC,2020-07-09,15,14,4,4,11,4,1
BMC,2020-07-10,12,12,3,3,9,1,0
BMC,2020-07-11,12,12,3,3,9,1,0
BMC,2020-07-12,13,13,2,2,11,0,0
BMC,2020-07-13,12,12,3,3,9,3,0
BMC,2020-07-14,15,15,3,3,12,3,0
BMC,2020-07-15,13,13,4,4,9,0,0
BMC,2020-07-16,14,12,3,3,11,1,0
BMC,2020-07-17,11,9,1,1,10,1,0
BMC,2020-07-18,15,14,2,2,13,6,0
BMC,2020-07-19,17,16,2,2,15,1,0
BMC,2020-07-20,18,17,3,3,15,3,0
BMC,2020-07-21,19,18,3,3,16,1,0
BMC,2020-07-22,19,18,4,4,15,1,0
BMC,2020-07-23,16,14,4,4,12,0,0
BMC,2020-07-24,12,11,4,4,8,2,0
BMC,2020-07-25,15,13,4,4,11,2,0
BMC,2020-07-26,18,16,4,4,14,2,0
BMC,2020-07-27,20,18,4,4,16,2,0
BMC,2020-07-28,19,17,3,3,16,1,0
BMC,2020-07-29,19,17,2,2,17,2,0
BMC,2020-07-30,20,17,2,2,18,2,0
BMC,2020-07-31,19,16,2,2,17,3,0
BMC,2020-08-01,17,14,2,2,15,3,0
BMC,2020-08-02,18,15,3,3,15,1,0
BMC,2020-08-03,18,15,2,2,16,2,0
BMC,2020-08-04,18,14,3,3,15,4,1
BMC,2020-08-05,19,14,3,3,16,1,0
BMC,2020-08-06,18,14,4,4,14,1,0
BMC,2020-08-07,19,14,4,4,15,2,0
BMC,2020-08-08,20,13,5,5,15,3,0
BMC,2020-08-09,21,14,5,5,16,1,0
BMC,2020-08-10,18,11,4,4,14,0,0
BMC,2020-08-11,17,10,4,4,13,1,0
BMC,2020-08-12,17,11,3,3,14,4,0
BMC,2020-08-13,19,13,3,3,16,2,0
BMC,2020-08-14,19,14,3,3,16,3,0
BMC,2020-08-15,17,11,3,3,14,3,0
BMC,2020-08-16,16,11,3,3,13,1,0
BMC,2020-08-17,15,11,3,3,12,1,0
BMC,2020-08-18,14,10,3,3,11,1,0
BMC,2020-08-19,15,11,3,3,12,3,0
BMC,2020-08-20,14,9,3,3,11,1,0
BMC,2020-08-21,13,9,2,2,11,1,0
BMC,2020-08-22,15,10,2,2,13,3,0
BMC,2020-08-23,16,11,1,1,15,1,0
BMC,2020-08-24,19,14,1,1,18,3,0
BMC,2020-08-25,19,14,1,1,18,4,0
BMC,2020-08-26,21,17,1,1,20,2,0
BMC,2020-08-27,20,16,1,1,19,4,0
BMC,2020-08-28,22,17,2,2,20,1,0
BMC,2020-08-29,21,16,2,2,19,2,0
BMC,2020-08-30,17,12,2,2,15,1,0
BMC,2020-08-31,18,13,2,2,16,1,0
BMC,2020-09-01,18,13,2,2,16,2,0
BMC,2020-09-02,17,12,2,2,15,2,0
BMC,2020-09-03,19,15,3,3,16,2,1
BMC,2020-09-04,17,12,5,5,12,1,0
BMC,2020-09-05,17,11,4,4,13,1,0
BMC,2020-09-06,19,13,3,3,16,1,0
BMC,2020-09-07,19,13,4,4,15,0,0
BMC,2020-09-08,21,14,5,5,16,3,0
BMC,2020-09-09,21,12,4,4,17,0,0
BMC,2020-09-10,17,10,4,4,13,1,0
BMC,2020-09-11,14,10,4,4,10,1,0
BMC,2020-09-12,12,8,3,3,9,0,0
BMC,2020-09-13,13,9,3,3,10,3,0
BMC,2020-09-14,12,9,4,4,8,0,0
BMC,2020-09-15,10,7,3,3,7,0,0
BMC,2020-09-16,8,6,2,2,6,0,0
BMC,2020-09-17,7,5,2,2,5,0,0
BMC,2020-09-18,8,5,1,1,7,2,0
BMC,2020-09-19,8,6,1,1,7,1,0
BMC,2020-09-20,7,4,1,1,6,0,0
BMC,2020-09-21,7,4,2,2,5,0,0
BMC,2020-09-22,9,6,2,2,7,3,0
BMC,2020-09-23,7,6,3,3,4,2,0
BMC,2020-09-24,9,8,3,3,6,1,0
BMC,2020-09-25,9,8,3,3,6,1,0
BMC,2020-09-26,7,6,3,3,4,1,0
BMC,2020-09-27,6,4,2,2,4,0,0
BMC,2020-09-28,6,4,1,1,5,1,0
BMC,2020-09-29,5,3,2,2,3,0,0
BMC,2020-09-30,5,3,2,2,3,0,0
BMC,2020-10-01,5,3,2,2,3,1,0
BMC,2020-10-02,6,4,3,3,3,0,0
BMC,2020-10-03,6,3,2,2,4,2,0
BMC,2020-10-04,8,5,3,3,5,0,0
BMC,2020-10-05,8,4,2,2,6,0,0
BMC,2020-10-06,9,5,2,2,7,1,0
BMC,2020-10-07,8,5,3,3,5,1,0
BMC,2020-10-08,9,6,2,2,7,1,0
BMC,2020-10-09,10,6,3,3,7,3,1
BMC,2020-10-10,11,8,3,3,8,1,1
BMC,2020-10-11,9,6,2,2,7,0,0
BMC,2020-10-12,9,7,2,2,7,2,0
BMC,2020-10-13,8,6,3,3,5,0,0
BMC,2020-10-14,7,5,3,3,4,0,0
BMC,2020-10-15,8,6,3,3,5,1,0
BMC,2020-10-16,10,8,1,1,9,4,0
BMC,2020-10-17,7,4,1,1,6,3,0
BMC,2020-10-18,9,6,3,3,6,1,0
BMC,2020-10-19,10,7,3,3,7,1,0
BMC,2020-10-20,9,6,4,4,5,1,0
BMC,2020-10-21,8,6,3,3,5,1,0
BMC,2020-10-22,7,5,2,2,5,1,0
BMC,2020-10-23,6,4,1,1,5,2,0
BMC,2020-10-24,5,4,1,1,4,2,0
BMC,2020-10-25,8,7,2,2,6,3,0
BMC,2020-10-26,11,10,3,3,8,2,0
BMC,2020-10-27,9,7,4,4,5,1,0
BMC,2020-10-28,10,8,3,3,7,0,0
BMC,2020-10-29,10,8,3,3,7,1,0
BMC,2020-10-30,8,6,3,3,5,1,0
BMC,2020-10-31,9,7,2,2,7,1,0
BMC,2020-11-01,9,6,2,2,7,1,0
BMC,2020-11-02,11,8,2,2,9,3,1
BMC,2020-11-03,11,9,3,3,8,1,0
BMC,2020-11-04,10,8,3,3,7,1,0
BMC,2020-11-05,9,7,3,3,6,0,0
BMC,2020-11-06,10,8,2,2,8,1,0
BMC,2020-11-07,10,8,1,1,9,1,0
BMC,2020-11-08,12,10,2,2,10,4,1
BMC,2020-11-09,16,14,3,3,13,4,0
BMC,2020-11-10,20,18,3,3,17,4,0
BMC,2020-11-11,22,20,3,3,19,3,0
BMC,2020-11-12,22,20,4,4,18,2,0
BMC,2020-11-13,23,20,3,3,20,8,0
BMC,2020-11-14,24,20,4,4,20,3,0
BMC,2020-11-15,29,25,3,3,26,3,0
BMC,2020-11-16,27,24,3,3,24,9,0
BMC,2020-11-17,32,31,5,5,27,6,0
BMC,2020-11-18,35,33,6,6,29,4,0
BMC,2020-11-19,40,38,5,5,35,9,1
BMC,2020-11-20,44,39,8,8,36,4,0
BMC,2020-11-21,43,38,5,5,38,9,1
BMC,2020-11-22,42,37,5,5,37,5,0
BMC,2020-11-23,43,38,6,6,37,7,0
BMC,2020-11-24,48,44,6,6,42,8,0
BMC,2020-11-25,48,46,10,10,38,9,0
BMC,2020-11-26,53,48,12,12,41,7,0
BMC,2020-11-27,49,45,11,11,38,8,0
BMC,2020-11-28,51,46,12,12,39,3,0
BMC,2020-11-29,49,44,12,12,37,3,0
BMC,2020-11-30,47,42,12,12,35,4,0
BMC,2020-12-01,49,43,11,11,38,3,0
BMC,2020-12-02,44,41,12,12,32,4,0
BMC,2020-12-03,46,41,12,12,34,2,0
BMC,2020-12-04,48,42,11,11,37,3,0
BMC,2020-12-05,46,40,9,9,37,8,0
BMC,2020-12-06,46,38,13,13,33,5,0
BMC,2020-12-07,45,36,10,10,35,11,0
BMC,2020-12-08,48,39,10,10,38,5,0
BMC,2020-12-09,45,38,10,10,35,6,0
BMC,2020-12-10,42,36,10,10,32,4,0
BMC,2020-12-11,39,37,10,10,29,5,0
BMC,2020-12-12,40,32,11,11,29,4,0
BMC,2020-12-13,38,32,9,9,29,3,0
BMC,2020-12-14,38,34,11,11,27,3,0
BMC,2020-12-15,42,39,11,11,31,3,0
BMC,2020-12-16,44,38,11,11,33,6,0
BMC,2020-12-17,44,36,13,13,31,4,0
BMC,2020-12-18,41,34,12,12,29,5,0
BMC,2020-12-19,43,33,12,12,31,1,0
BMC,2020-12-20,47,36,11,11,36,8,0
BMC,2020-12-21,53,44,12,12,41,5,0
BMC,2020-12-22,51,41,13,13,38,8,0
BMC,2020-12-23,46,38,15,15,31,4,0
BMC,2020-12-24,41,32,15,15,26,1,0
BMC,2020-12-25,39,30,12,12,27,9,0
BMC,2020-12-26,52,43,15,15,37,7,0
BMC,2020-12-27,55,46,15,15,40,5,0
BMC,2020-12-28,52,42,15,15,37,0,0
BMC,2020-12-29,52,41,14,14,38,6,0
BMC,2020-12-30,55,43,15,15,40,4,0
BMC,2020-12-31,48,39,14,14,34,5,0
BMC,2021-01-01,45,34,15,15,30,2,0
BMC,2021-01-02,47,36,15,15,32,5,0
BMC,2021-01-03,52,42,14,14,38,3,0
BMC,2021-01-04,57,46,13,13,44,3,0
BMC,2021-01-05,56,42,13,13,43,2,0
BMC,2021-01-06,58,38,16,16,42,7,0
BMC,2021-01-07,59,40,16,16,43,4,0
BMC,2021-01-08,58,38,14,14,44,6,0
BMC,2021-01-09,50,37,13,13,37,4,0
BMC,2021-01-10,57,44,13,13,44,6,0
BMC,2021-01-11,55,43,10,10,45,3,0
BMC,2021-01-12,49,36,12,12,37,3,0
BMC,2021-01-13,50,37,9,9,41,5,0
BMC,2021-01-14,45,36,9,9,36,2,0
BMC,2021-01-15,39,30,10,10,29,6,0
BMC,2021-01-16,38,31,8,8,30,5,0
BMC,2021-01-17,38,32,9,9,29,2,0
BMC,2021-01-18,39,33,8,8,31,3,0
BMC,2021-01-19,42,36,11,11,31,6,0
BMC,2021-01-20,43,33,12,12,31,6,0
BMC,2021-01-21,50,40,10,10,40,7,0
BMC,2021-01-22,44,35,11,11,33,3,0
BMC,2021-01-23,44,34,12,12,32,6,1
BMC,2021-01-24,45,34,12,12,33,4,0
BMC,2021-01-25,47,36,13,13,34,8,0
BMC,2021-01-26,46,35,15,15,31,5,2
BMC,2021-01-27,41,31,15,15,26,3,0
BMC,2021-01-28,43,34,14,14,29,5,0
BMC,2021-01-29,34,27,13,13,21,2,0
BMC,2021-01-30,31,24,12,12,19,3,0
BMC,2021-01-31,33,27,12,12,21,4,0
BMC,2021-02-01,36,29,13,13,23,6,0
BMC,2021-02-02,41,34,13,13,28,7,0
BMC,2021-02-03,40,33,15,15,25,4,0
BMC,2021-02-04,41,33,12,12,29,2,0
BMC,2021-02-05,37,29,11,11,26,1,0
BMC,2021-02-06,39,32,13,13,26,3,0
BMC,2021-02-07,43,35,13,13,30,6,0
BMC,2021-02-08,41,33,12,12,29,2,0
BMC,2021-02-09,37,29,11,11,26,1,0
BMC,2021-02-10,35,25,11,11,24,1,0
BMC,2021-02-11,33,23,12,12,21,2,0
BMC,2021-02-12,33,24,12,12,21,1,0
BMC,2021-02-13,32,21,12,12,20,3,0
BMC,2021-02-14,31,19,10,10,21,2,0
BMC,2021-02-15,31,19,13,13,18,2,2
BMC,2021-02-16,31,19,10,10,21,2,0
BMC,2021-02-17,28,16,11,11,17,3,0
BMC,2021-02-18,34,20,12,12,22,3,1
BMC,2021-02-19,33,20,13,13,20,2,0
BMC,2021-02-20,35,22,13,13,22,5,0
BMC,2021-02-21,31,19,11,11,20,0,0
BMC,2021-02-22,33,21,14,14,19,4,0
BMC,2021-02-23,31,18,11,11,20,3,0
BMC,2021-02-24,32,21,11,11,21,3,0
BMC,2021-02-25,32,20,6,6,26,0,0
BMC,2021-02-26,28,17,6,6,22,2,0
BMC,2021-02-27,29,19,5,5,24,5,0
BMC,2021-02-28,31,21,7,7,24,1,0
BMC,2021-03-01,33,22,7,7,26,4,0
BMC,2021-03-02,32,22,8,8,24,2,0
BMC,2021-03-03,30,20,5,5,25,2,0
BMC,2021-03-04,29,17,6,6,23,2,0
BMC,2021-03-05,27,17,8,8,19,5,0
BMC,2021-03-06,29,17,7,7,22,4,0
BMC,2021-03-07,32,20,6,6,26,4,1
BMC,2021-03-08,29,18,5,5,24,2,0
BMC,2021-03-09,28,16,7,7,21,4,0
BMC,2021-03-10,28,18,5,5,23,0,0
BMC,2021-03-11,26,18,4,4,22,4,0
BMC,2021-03-12,22,15,4,4,18,0,0
BMC,2021-03-13,23,16,5,5,18,4,0
BMC,2021-03-14,26,16,5,5,21,3,0
BMC,2021-03-15,27,18,5,5,22,3,0
BMC,2021-03-16,22,15,5,5,17,3,0
BMC,2021-03-17,26,20,5,5,21,5,0
BMC,2021-03-18,26,20,7,7,19,4,0
BMC,2021-03-19,25,21,5,5,20,3,0
BMC,2021-03-20,25,19,5,5,20,4,0
BMC,2021-03-21,24,19,4,4,20,3,0
BMC,2021-03-22,25,18,6,6,19,4,0
BMC,2021-03-23,26,20,5,5,21,1,0
BMC,2021-03-24,24,17,6,6,18,1,0
BMC,2021-03-25,25,18,5,5,20,6,0
BMC,2021-03-26,27,21,5,5,22,5,0
BMC,2021-03-27,22,16,5,5,17,4,0
BMC,2021-03-28,25,18,7,7,18,3,0
BMC,2021-03-29,25,19,7,7,18,1,0
BMC,2021-03-30,24,16,6,6,18,1,0
BMC,2021-03-31,25,18,5,5,20,5,0
BMC,2021-04-01,26,20,5,5,21,5,0
BMC,2021-04-02,30,23,5,5,25,7,0
BMC,2021-04-03,30,22,5,5,25,2,0
BMC,2021-04-04,28,19,4,4,24,3,0
BMC,2021-04-05,31,22,5,5,26,7,0
BMC,2021-04-06,32,24,8,8,24,4,0
BMC,2021-04-07,33,24,9,9,24,2,0
BMC,2021-04-08,33,23,8,8,25,4,0
BMC,2021-04-09,30,20,8,8,22,3,0
BMC,2021-04-10,33,23,8,8,25,2,0
BMC,2021-04-11,33,23,7,7,26,2,0
BMC,2021-04-12,35,25,7,7,28,5,0
BMC,2021-04-13,32,23,10,10,22,6,0
BMC,2021-04-14,33,24,9,9,24,3,0
BMC,2021-04-15,35,25,8,8,27,7,0
BMC,2021-04-16,35,25,9,9,26,2,0
BMC,2021-04-17,38,26,9,9,29,3,0
BMC,2021-04-18,37,25,7,7,30,8,0
BMC,2021-04-19,40,26,10,10,30,4,0
BMC,2021-04-20,39,24,9,9,30,4,0
BMC,2021-04-21,35,23,7,7,28,1,0
BMC,2021-04-22,28,17,7,7,21,2,0
BMC,2021-04-23,28,17,9,9,19,6,1
BMC,2021-04-24,33,21,10,10,23,4,0
BMC,2021-04-25,32,23,9,9,23,3,0
BMC,2021-04-26,35,23,9,9,26,4,0
BMC,2021-04-27,38,26,10,10,28,4,0
BMC,2021-04-28,28,16,11,11,17,2,0
BMC,2021-04-29,30,19,11,11,19,2,0
BMC,2021-04-30,32,20,9,9,23,5,0
BMC,2021-05-01,31,17,7,7,24,2,0
BMC,2021-05-02,32,19,7,7,25,3,1
BMC,2021-05-03,30,17,7,7,23,6,0
BMC,2021-05-04,32,19,7,7,25,2,0
BMC,2021-05-05,31,19,8,8,23,3,0
BMC,2021-05-06,33,20,8,8,25,4,0
BMC,2021-05-07,33,21,9,9,24,3,0
BMC,2021-05-08,32,21,8,8,24,3,0
BMC,2021-05-09,29,18,7,7,22,1,0
BMC,2021-05-10,31,19,8,8,23,3,0
BMC,2021-05-11,31,19,9,9,22,1,0
BMC,2021-05-12,29,18,10,10,19,2,0
BMC,2021-05-13,28,15,9,9,19,1,0
BMC,2021-05-14,28,14,11,11,17,2,0
BMC,2021-05-15,26,12,12,12,14,1,0
BMC,2021-05-16,27,15,9,9,18,2,0
BMC,2021-05-17,29,17,10,10,19,2,0
BMC,2021-05-18,27,12,13,13,14,1,0
BMC,2021-05-19,26,11,12,12,14,1,0
BMC,2021-05-20,23,13,9,9,14,1,0
BMC,2021-05-21,24,13,9,9,15,1,0
BMC,2021-05-22,23,12,8,8,15,1,0
BMC,2021-05-23,24,13,7,7,17,1,0
BMC,2021-05-24,22,10,7,7,15,0,0
BMC,2021-05-25,23,10,7,7,16,1,0
BMC,2021-05-26,22,10,5,5,17,1,0
BMC,2021-05-27,18,8,4,4,14,0,0
BMC,2021-05-28,16,7,3,3,13,1,0
BMC,2021-05-29,15,6,5,5,10,0,0
BMC,2021-05-30,16,7,5,5,11,0,0
BMC,2021-05-31,17,8,4,4,13,2,0
BMC,2021-06-01,18,9,3,3,15,0,0
BMC,2021-06-02,19,11,2,2,17,0,0
BMC,2021-06-03,17,9,4,4,13,0,0
BMC,2021-06-04,14,4,3,3,11,1,0
BMC,2021-06-05,16,5,3,3,13,0,0
BMC,2021-06-06,16,5,2,2,14,0,0
BMC,2021-06-07,16,6,2,2,14,1,0
BMC,2021-06-08,14,3,2,2,12,1,0
BMC,2021-06-09,13,3,2,2,11,0,0
BMC,2021-06-10,13,4,2,2,11,1,0
BMC,2021-06-11,12,5,3,3,9,0,0
BMC,2021-06-12,9,3,2,2,7,0,0
BMC,2021-06-13,10,4,2,2,8,1,0
BMC,2021-06-14,11,5,3,3,8,0,0
BMC,2021-06-15,9,5,2,2,7,0,0
BMC,2021-06-16,8,5,3,3,5,0,0
BMC,2021-06-17,9,6,3,3,6,1,0
BMC,2021-06-18,8,4,3,3,5,1,0
BMC,2021-06-19,8,4,3,3,5,0,0
BMC,2021-06-20,9,5,3,3,6,0,0
BMC,2021-06-21,10,6,4,4,6,0,0
BMC,2021-06-22,9,6,3,3,6,1,0
BMC,2021-06-23,11,8,3,3,8,0,0
BMC,2021-06-24,12,8,4,4,8,0,0
BMC,2021-06-25,13,9,4,4,9,0,0
BMC,2021-06-26,12,8,2,2,10,0,0
BMC,2021-06-27,11,7,2,2,9,2,0
BMC,2021-06-28,11,7,2,2,9,0,0
BMC,2021-06-29,10,5,2,2,8,1,0
BMC,2021-06-30,11,6,2,2,9,1,0
BMC,2021-07-01,11,4,2,2,9,0,0
BMC,2021-07-02,10,3,2,2,8,0,0
BMC,2021-07-03,7,3,2,2,5,2,0
BMC,2021-07-04,9,5,2,2,7,1,0
BMC,2021-07-05,8,4,3,3,5,1,0
BMC,2021-07-06,9,5,4,4,5,3,0
BMC,2021-07-07,10,6,4,4,6,1,0
BMC,2021-07-08,10,6,4,4,6,1,0
BMC,2021-07-09,12,8,4,4,8,3,0
BMC,2021-07-10,12,7,3,3,9,0,0
BMC,2021-07-11,9,4,4,4,5,0,0
BMC,2021-07-12,9,4,4,4,5,0,0
BMC,2021-07-13,9,4,4,4,5,1,0
BMC,2021-07-14,10,5,4,4,6,1,0
BMC,2021-07-15,9,4,4,4,5,0,0
BMC,2021-07-16,8,4,3,3,5,0,0
BMC,2021-07-17,8,2,2,2,6,0,0
BMC,2021-07-18,9,3,2,2,7,1,0
BMC,2021-07-19,9,3,3,3,6,0,0
BMC,2021-07-20,9,3,3,3,6,0,0
BMC,2021-07-21,8,2,3,3,5,0,0
BMC,2021-07-22,8,3,1,1,7,2,0
BMC,2021-07-23,9,4,1,1,8,1,0
BMC,2021-07-24,8,4,1,1,7,1,0
BMC,2021-07-25,6,3,1,1,5,0,0
BMC,2021-07-26,7,4,1,1,6,0,0
BMC,2021-07-27,8,5,1,1,7,1,0
BMC,2021-07-28,6,3,1,1,5,0,0
BMC,2021-07-29,9,6,1,1,8,2,0
BMC,2021-07-30,8,4,1,1,7,0,0
BMC,2021-07-31,7,3,1,1,6,0,0
BMC,2021-08-01,7,3,1,1,6,2,0
BMC,2021-08-02,8,5,1,1,7,0,0
BMC,2021-08-03,8,5,1,1,7,1,0
BMC,2021-08-04,7,4,2,2,5,0,0
BMC,2021-08-05,7,3,2,2,5,1,0
BMC,2021-08-06,9,5,2,2,7,3,0
BMC,2021-08-07,8,5,2,2,6,1,0
BMC,2021-08-08,8,5,0,0,8,1,0
BMC,2021-08-09,5,2,1,1,4,0,0
BMC,2021-08-10,8,5,1,1,7,3,0
BMC,2021-08-11,7,4,1,1,6,0,0
BMC,2021-08-12,8,5,1,1,7,1,0
BMC,2021-08-13,7,4,3,3,4,0,0
BMC,2021-08-14,7,4,3,3,4,2,0
BMC,2021-08-15,9,6,3,3,6,1,1
BMC,2021-08-16,9,6,3,3,6,1,0
BMC,2021-08-17,10,7,3,3,7,1,0
BMC,2021-08-18,10,7,3,3,7,3,0
BMC,2021-08-19,13,9,3,3,10,3,0
BMC,2021-08-20,11,8,3,3,8,1,0
BMC,2021-08-21,14,12,3,3,11,4,0
BMC,2021-08-22,14,12,4,4,10,0,0
BMC,2021-08-23,11,9,4,4,7,1,0
BMC,2021-08-24,10,8,4,4,6,0,0
BMC,2021-08-25,9,7,4,4,5,1,0
BMC,2021-08-26,8,6,4,4,4,0,0
BMC,2021-08-27,7,5,2,2,5,0,0
BMC,2021-08-28,8,6,2,2,6,3,1
BMC,2021-08-29,12,9,2,2,10,3,0
BMC,2021-08-30,12,8,3,3,9,1,0
BMC,2021-08-31,14,10,4,4,10,4,0
BMC,2021-09-01,13,9,4,4,9,1,0
BMC,2021-09-02,14,10,3,3,11,2,0
BMC,2021-09-03,16,11,3,3,13,1,0
BMC,2021-09-04,17,12,4,4,13,3,0
BMC,2021-09-05,17,12,3,3,14,3,0
BMC,2021-09-06,18,13,4,4,14,2,0
BMC,2021-09-07,18,13,5,5,13,3,0
BMC,2021-09-08,19,14,3,3,16,4,1
BMC,2021-09-09,15,13,3,3,12,1,0
BMC,2021-09-10,15,13,3,3,12,2,0
BMC,2021-09-11,19,16,6,6,13,4,0
BMC,2021-09-12,17,15,5,5,12,0,0
BMC,2021-09-13,22,19,5,5,17,7,0
BMC,2021-09-14,23,20,8,8,15,2,0
BMC,2021-09-15,24,21,6,6,18,5,0
BMC,2021-09-16,24,21,9,9,15,6,0
